Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
1	02/27/18 16:21:13.393.842		bd 00 04 ff 03 02 07 02 
2	02/27/18 16:21:13.394.534		01 00 00 01 03 04 01 00 
3	02/27/18 16:21:13.395.227		00 00 00 00 00 00 00 00 
4	02/27/18 16:21:13.395.919		00 00 00 00 00 00 00 00 
5	02/27/18 16:21:13.396.611		63 63 63 63 9c 14 
6	02/27/18 16:21:13.469.052	02 0e 00 4d 6f 	
7	02/27/18 16:21:13.482.883		02 0e f6 c2 b6 01 04 04 
8	02/27/18 16:21:13.483.576		64 00 01 01 00 01 00 01 
9	02/27/18 16:21:13.484.268		00 01 00 02 00 0b 0a 
10	02/27/18 16:21:13.484.874		23 4f 44 89 65 9f 81 a9 
11	02/27/18 16:21:13.485.566		96 ad a6 ae b1 af b8 b0 
12	02/27/18 16:21:13.486.259		bd b0 c0 b0 c2 b0 c4 b0 
13	02/27/18 16:21:13.486.951		c5 b0 c5 b0 c6 b0 c6 b0 
14	02/27/18 16:21:13.487.643		c6 b0 c6 b0 c6 b0 c6 b0 
15	02/27/18 16:21:13.488.336		c6 b0 c6 b0 c6 b0 c6 b0 
16	02/27/18 16:21:13.489.028		c6 b0 c6 b0 c6 b0 c6 af 
17	02/27/18 16:21:13.489.720		c6 af c6 af c6 af c6 af 
18	02/27/18 16:21:13.490.413		c6 af c6 af c6 af c6 af 
19	02/27/18 16:21:13.491.105		c6 af c6 af c6 af c6 af 
20	02/27/18 16:21:13.491.797		c6 af c6 af c6 af c6 af 
21	02/27/18 16:21:13.492.489		c6 af c6 af c6 af c6 af 
22	02/27/18 16:21:13.493.182		c6 af c6 af c6 af c6 af 
23	02/27/18 16:21:13.493.874		c6 af c6 af c5 af c5 af 
24	02/27/18 16:21:13.494.566		c5 af c5 af c5 af c5 af 
25	02/27/18 16:21:13.495.259		c5 af c5 af c5 af c5 af 
26	02/27/18 16:21:13.495.951		c5 af c5 af c5 af c5 af 
27	02/27/18 16:21:13.496.643		c5 af c5 af c5 af c5 af 
28	02/27/18 16:21:13.497.336		c5 af c5 af c5 af c5 af 
29	02/27/18 16:21:13.498.028		c5 af c5 af c5 af c5 af 
30	02/27/18 16:21:13.498.721		c5 ae c5 ae c5 ae c5 ae 
31	02/27/18 16:21:13.499.413		c5 ae c5 ae c5 ae c5 ae 
32	02/27/18 16:21:13.500.105		c5 ae c5 ae c5 ae c5 ae 
33	02/27/18 16:21:13.500.797		c5 ae c5 ae c5 ae c5 ae 
34	02/27/18 16:21:13.501.490		c4 ae c4 ae be 94 ac 42 
35	02/27/18 16:21:13.502.182		93 1d 78 0c 5e 03 47 00 
36	02/27/18 16:21:13.502.874		34 00 26 00 1c 00 14 00 
37	02/27/18 16:21:13.503.567		0f 00 0b 00 08 00 06 00 
38	02/27/18 16:21:13.504.259		05 00 04 00 ba ce 
39	02/27/18 16:21:13.656.201	02 02 00 08 02 	
40	02/27/18 16:21:13.672.551		02 02 2e cd ae 00 04 89 
41	02/27/18 16:21:13.673.244		a1 04 00 58 58 01 0a 
42	02/27/18 16:21:13.673.850		ca 00 04 ff 03 02 07 02 
43	02/27/18 16:21:13.674.542		00 00 00 01 03 04 01 00 
44	02/27/18 16:21:13.675.235		00 00 00 00 00 00 00 00 
45	02/27/18 16:21:13.675.927		00 00 00 00 00 00 00 00 
46	02/27/18 16:21:13.676.619		63 63 63 63 f8 a8 
47	02/27/18 16:21:13.812.488	02 02 00 08 02 	
48	02/27/18 16:21:13.832.556		02 02 2e cd ae 00 04 8a 
49	02/27/18 16:21:13.833.248		41 04 00 58 58 01 0a 
50	02/27/18 16:21:13.833.854		ca 00 04 ff 03 02 07 02 
51	02/27/18 16:21:13.834.547		00 00 00 01 03 04 01 00 
52	02/27/18 16:21:13.835.239		00 00 00 00 00 00 00 00 
53	02/27/18 16:21:13.835.931		00 00 00 00 00 00 00 00 
54	02/27/18 16:21:13.836.623		63 63 63 63 82 7c 
55	02/27/18 16:21:13.968.714	02 02 00 08 02 	
56	02/27/18 16:21:13.982.563		02 02 2e cd ae 00 04 8a 
57	02/27/18 16:21:13.983.255		d7 04 00 58 58 01 0a 
58	02/27/18 16:21:13.983.861		ca 00 04 ff 03 02 07 02 
59	02/27/18 16:21:13.984.554		00 00 00 01 03 05 01 00 
